排名,球员,效力球队,位置,年龄,场数,时间,回合占有率,回合占有率  %,真实命中率,真实命中率  %,助攻率,助攻率  %,助攻率/回合占有率,助攻率/回合占有率  %,失误率,失误率  %
75,张帆,北京控股,得分后卫,26,24,838,73,23.4%,75,56.6%,68,22.3%,56,0.96,59,14.6%
76,张骋宇,青岛每日优鲜,得分后卫,33,37,836,84,26.3%,17,44.1%,44,15.7%,14,0.60,90,9.8%
77,阿尔斯兰,新疆伊力王酒,控球后卫,26,34,833,33,16.3%,44,49.2%,64,35.4%,93,2.17,80,14.0%
78,马泳,北京控股,得分后卫,24,37,833,21,15.3%,48,53.0%,30,13.2%,48,0.86,25,17.6%
79,贾诚,山东高速,中锋,31,38,831,21,15.3%,10,50.1%,34,7.2%,52,0.47,81,10.3%
80,雷蒙,北京首钢,小前锋,27,36,824,61,17.8%,80,60.0%,72,12.1%,65,0.68,26,15.0%
81,弗拉迪米尔,宁波甬兴证券,中锋,35,25,823,90,27.7%,25,53.7%,97,28.1%,94,1.02,84,10.0%
82,张永鹏,福建浔兴股份,中锋,32,38,820,16,14.9%,84,65.0%,51,9.2%,70,0.62,13,20.9%
83,闫鹏飞,山西汾酒股份,中锋,29,38,808,64,21.3%,43,55.6%,25,6.1%,15,0.29,82,10.2%
84,王少杰,北京控股,大前锋,26,34,799,51,17.5%,33,52.5%,46,8.2%,42,0.47,21,17.6%
85,蒋浩然,苏州肯帝亚,大前锋,22,38,796,86,20.6%,81,62.7%,44,8.2%,23,0.40,37,14.9%
86,容子峰,深圳马可波罗,控球后卫,23,37,790,7,11.1%,51,50.9%,0,11.9%,13,1.07,36,20.4%
87,高登,福建浔兴股份,控球后卫,31,20,788,100,44.4%,89,60.2%,98,54.7%,28,1.23,100,8.9%
88,艾孜麦提,新疆伊力王酒,大前锋,20,37,783,60,18.1%,61,58.7%,88,14.2%,88,0.79,26,17.0%
89,弗格,辽宁本钢,得分后卫,32,31,777,92,28.2%,100,66.9%,54,19.3%,27,0.69,97,8.9%
90,西热力江,南京同曦宙光,得分后卫,31,20,774,75,23.6%,43,50.8%,94,40.2%,94,1.70,56,15.1%
91,朱彦西,北京首钢,大前锋,32,35,772,16,13.0%,95,67.6%,39,7.5%,65,0.58,95,7.2%
92,罗切斯特,天津先行者,控球后卫,37,25,770,91,29.2%,100,67.0%,75,38.0%,35,1.30,96,11.2%
93,刘东,南京同曦宙光,中锋,27,32,766,52,20.3%,15,52.2%,63,11.3%,61,0.56,67,12.5%
94,马振翔,宁波甬兴证券,大前锋,22,32,755,65,18.2%,16,47.9%,65,9.7%,54,0.53,54,12.2%
95,德蒙特-爱德华兹,南京同曦宙光,小前锋,30,25,755,89,23.9%,17,49.4%,83,15.1%,56,0.63,46,13.3%
96,赵俊峰,宁波甬兴证券,控球后卫,22,33,750,40,17.1%,31,45.9%,16,18.6%,16,1.09,55,17.7%
97,余嘉豪,浙江稠州金租,中锋,19,28,750,39,17.6%,88,65.6%,24,5.9%,24,0.34,70,12.4%
98,袁堂文,上海久事,控球后卫,22,36,748,9,11.3%,13,40.3%,67,36.9%,98,3.27,13,27.5%
99,俞长栋,北京控股,大前锋,31,26,742,40,15.7%,72,59.8%,70,10.4%,75,0.66,28,16.5%
100,赵泰隆,青岛每日优鲜,小前锋,32,33,741,56,17.2%,93,63.6%,17,6.0%,13,0.35,91,8.3%
101,李原宇,青岛每日优鲜,中锋,31,31,735,28,16.4%,45,56.0%,57,10.4%,73,0.64,18,20.1%
102,杨林祎,深圳马可波罗,得分后卫,27,35,733,44,17.5%,28,46.5%,67,21.9%,76,1.25,35,16.3%
103,赵嘉仁,浙江广厦控股,小前锋,23,37,733,19,13.0%,96,65.1%,41,8.2%,59,0.64,67,11.8%
104,肯尼-伯顿,天津先行者,得分后卫,31,25,727,95,32.0%,90,60.8%,92,38.0%,73,1.19,94,9.3%
105,李炎哲,广州龙狮,中锋,22,35,726,24,15.8%,79,63.6%,0,2.4%,1,0.15,27,17.6%
106,易建联,广东东莞大益,中锋,35,30,722,88,27.5%,76,63.4%,36,7.6%,13,0.28,72,12.2%
107,白昊天,深圳马可波罗,得分后卫,23,29,712,2,12.5%,37,49.1%,40,14.2%,67,1.14,70,13.4%
108,王俊杰,北京控股,控球后卫,23,33,712,38,16.6%,33,46.2%,11,17.1%,9,1.03,57,17.5%
109,郭金林,四川金荣实业,大前锋,31,31,710,19,13.0%,49,55.9%,84,12.4%,96,0.96,9,18.6%
110,刘泽一,浙江稠州金租,大前锋,23,37,710,30,14.7%,82,62.7%,18,5.9%,26,0.40,42,14.1%
111,孙熔孝,南京同曦宙光,小前锋,27,34,708,76,20.4%,39,53.7%,69,12.1%,46,0.59,63,12.5%
112,史仪,苏州肯帝亚,控球后卫,26,35,707,36,16.5%,15,40.4%,53,30.0%,75,1.81,5,30.4%
113,田宇翔,北京首钢,控球后卫,30,34,695,16,13.6%,40,48.7%,36,26.7%,85,1.96,78,14.1%
114,李添荣,上海久事,得分后卫,22,32,692,63,20.7%,97,64.2%,49,17.0%,46,0.82,46,15.5%
115,特罗特三世,宁波甬兴证券,得分后卫,34,27,692,90,28.1%,60,54.7%,86,31.5%,65,1.12,76,12.6%
116,哈达迪,四川金荣实业,中锋,37,20,691,82,25.6%,27,53.8%,100,40.2%,99,1.57,6,23.1%
117,李禄曈,苏州肯帝亚,中锋,20,35,691,51,19.8%,37,55.2%,15,5.1%,10,0.26,66,12.6%
118,侯逸凡,北京控股,小前锋,30,31,681,9,11.5%,89,62.6%,19,6.2%,33,0.54,72,11.0%
119,哈德森,山东高速,控球后卫,38,24,672,95,34.7%,96,63.7%,78,38.0%,18,1.10,67,16.0%
120,林韦翰,青岛每日优鲜,控球后卫,32,23,671,35,16.4%,49,50.8%,69,37.1%,95,2.26,22,24.8%
121,王庆明,青岛每日优鲜,大前锋,30,33,658,70,18.9%,46,55.0%,79,11.2%,68,0.59,16,17.8%
122,王仔路,浙江稠州金租,小前锋,25,36,653,28,14.5%,59,55.8%,74,12.8%,89,0.88,19,16.5%
123,郑准,广州龙狮,中锋,30,38,652,54,20.7%,67,61.8%,45,8.5%,37,0.41,96,7.3%
124,邹雨宸,北京控股,中锋,26,27,649,60,21.2%,46,56.0%,55,9.7%,46,0.46,24,18.3%
125,达卡里-约翰逊,青岛每日优鲜,中锋,27,25,648,94,28.7%,87,65.2%,96,26.0%,85,0.91,31,16.7%
126,哈斯,北京控股,中锋,27,32,647,81,25.0%,96,69.0%,64,11.7%,51,0.47,15,20.7%
127,赵天熠,南京同曦宙光,中锋,27,30,646,3,11.0%,51,57.0%,60,10.5%,88,0.96,88,9.5%
128,韩德君,辽宁本钢,中锋,35,28,644,46,19.0%,93,67.0%,67,12.1%,75,0.64,46,15.0%
129,李敬宇,山东高速,大前锋,31,34,642,11,12.4%,96,68.4%,91,14.4%,100,1.16,74,10.7%
130,卢鹏羽,深圳马可波罗,小前锋,21,35,642,31,14.9%,78,60.0%,44,8.9%,48,0.60,28,15.0%
131,李晓旭,辽宁本钢,大前锋,32,28,638,0,10.6%,44,55.0%,49,8.6%,89,0.81,91,7.9%
132,郭昊文,上海久事,小前锋,22,29,631,93,26.5%,85,62.2%,89,15.9%,50,0.60,24,15.3%
133,贾罗德-琼斯,浙江广厦控股,大前锋,32,25,626,96,25.6%,65,59.0%,89,14.3%,63,0.56,100,6.5%
134,许家晗,青岛每日优鲜,控球后卫,29,33,623,5,11.1%,80,58.4%,31,21.9%,89,1.98,40,20.0%
135,区俊炫,福建浔兴股份,中锋,23,33,621,61,21.2%,75,63.0%,21,5.8%,12,0.27,75,11.3%
136,王汝恒,山东高速,得分后卫,32,36,618,35,16.9%,41,50.7%,71,22.9%,79,1.36,33,16.4%
137,史鸿飞,苏州肯帝亚,控球后卫,29,22,610,69,22.3%,55,52.5%,82,38.7%,71,1.74,45,18.9%
138,郭艾伦,辽宁本钢,控球后卫,29,21,609,96,35.8%,57,52.7%,89,40.9%,20,1.14,87,12.7%
139,贾明儒,广州龙狮,得分后卫,25,36,609,25,15.9%,52,53.5%,17,9.6%,17,0.60,81,11.6%
140,丛明晨,辽宁本钢,小前锋,27,32,608,33,15.0%,91,63.0%,37,7.6%,30,0.50,50,13.2%
141,代怀博,九台农商银行,大前锋,28,32,601,42,16.4%,28,51.1%,33,7.2%,33,0.44,96,7.1%
142,丁皓然,九台农商银行,大前锋,26,34,599,67,18.2%,18,48.3%,26,6.3%,14,0.35,67,11.2%
143,郑祺龙,苏州肯帝亚,大前锋,26,35,596,12,12.4%,40,54.8%,53,8.9%,84,0.72,18,17.7%
144,宁鸿宇,宁波甬兴证券,中锋,27,33,595,56,20.8%,19,53.0%,54,9.6%,48,0.46,48,14.7%
145,田宇恒,广州龙狮,得分后卫,26,28,591,17,14.6%,78,56.7%,14,9.6%,25,0.66,65,14.1%
146,刘旭乘,福建浔兴股份,大前锋,23,34,590,21,13.5%,25,50.0%,7,4.5%,12,0.34,89,8.5%
147,韩德龙,宁波甬兴证券,得分后卫,27,19,588,46,18.2%,70,56.1%,65,21.5%,71,1.18,32,16.5%
148,许可,浙江广厦控股,控球后卫,22,34,585,28,15.6%,76,57.1%,28,21.8%,45,1.40,7,28.7%
149,吴冠希,苏州肯帝亚,中锋,28,18,574,93,28.6%,91,65.9%,79,15.2%,57,0.53,34,16.6%
150,乔文瀚,山东高速,小前锋,31,35,573,41,15.6%,81,60.6%,80,14.5%,91,0.93,17,16.7%
151,许裕茁,宁波甬兴证券,小前锋,23,31,570,52,16.4%,11,45.1%,76,13.4%,81,0.82,7,17.8%
152,许钟豪,浙江广厦控股,中锋,32,30,567,30,16.4%,39,55.4%,82,16.0%,91,0.98,25,18.0%
153,萨林杰,深圳马可波罗,中锋,30,24,567,100,32.7%,57,59.1%,94,24.2%,78,0.74,93,9.1%
154,贾昊,山西汾酒股份,小前锋,23,35,567,17,12.6%,19,49.6%,39,7.9%,56,0.63,30,14.9%
155,杜润旺,广东东莞大益,大前锋,23,26,565,14,12.6%,98,69.0%,51,8.8%,82,0.70,56,12.0%
156,张兆旭,天津先行者,中锋,35,29,561,4,12.4%,55,58.6%,22,5.9%,54,0.47,19,20.0%
157,李泓翰,四川金荣实业,得分后卫,27,29,561,54,19.9%,65,55.3%,19,10.3%,10,0.52,62,14.5%
158,田雨,天津先行者,中锋,26,28,555,36,17.5%,28,53.8%,18,5.3%,18,0.30,51,14.3%
159,冯莱,上海久事,中锋,27,23,546,91,27.8%,31,54.5%,81,15.8%,64,0.57,64,13.0%
160,兰兹博格,北京控股,小前锋,32,23,545,98,35.5%,33,53.0%,94,25.8%,69,0.73,80,9.8%
161,张祖铭,青岛每日优鲜,大前锋,27,30,543,68,18.2%,77,62.3%,56,9.2%,51,0.50,72,10.7%
162,德兹明-威尔斯,青岛每日优鲜,得分后卫,30,24,543,100,46.0%,87,57.4%,90,37.1%,43,0.81,86,10.8%
163,赵睿,广东东莞大益,得分后卫,26,19,542,79,24.4%,83,57.1%,95,41.3%,92,1.69,16,22.6%
164,鄢手骐,辽宁本钢,控球后卫,25,31,542,18,13.9%,22,43.2%,5,15.0%,15,1.08,73,14.8%
165,拉科塞维奇,浙江稠州金租,中锋,25,21,541,78,24.1%,42,55.5%,69,12.4%,55,0.51,49,14.6%
166,王向彬,宁波甬兴证券,小前锋,23,32,536,2,9.7%,24,52.1%,31,7.1%,70,0.73,13,16.8%
167,周湛东,山西汾酒股份,控球后卫,32,29,528,15,13.6%,60,53.6%,25,21.1%,55,1.56,51,17.9%
168,方硕,北京首钢,得分后卫,32,22,527,65,21.1%,40,50.1%,83,29.7%,86,1.40,37,16.2%
169,鲁吐布拉,新疆伊力王酒,中锋,23,31,524,42,18.3%,24,53.6%,31,7.2%,31,0.39,54,14.1%
170,林书豪,北京首钢,得分后卫,34,23,518,94,30.7%,56,54.4%,89,34.9%,68,1.14,48,15.5%
171,威姆斯,广东东莞大益,小前锋,36,20,509,94,27.4%,67,57.4%,100,41.8%,100,1.53,2,21.0%
172,冯欣,浙江广厦控股,控球后卫,30,32,506,56,19.8%,91,60.4%,40,27.1%,42,1.37,35,21.3%
173,吉伦沃特,山东高速,大前锋,34,25,497,100,36.3%,93,67.0%,75,10.7%,9,0.29,61,11.6%
174,陶彦儒,苏州肯帝亚,得分后卫,23,23,495,76,23.7%,32,47.2%,41,14.3%,16,0.60,27,17.5%
175,王洪,青岛每日优鲜,控球后卫,30,25,488,24,14.7%,18,41.5%,73,37.6%,96,2.56,15,27.0%
176,利夫,广州龙狮,中锋,25,15,481,99,31.5%,78,63.4%,90,19.9%,72,0.63,91,9.2%
177,邵英伦,青岛每日优鲜,大前锋,26,29,476,5,11.8%,32,51.5%,67,9.7%,91,0.83,11,18.2%
178,赵义明,深圳马可波罗,中锋,22,34,476,57,20.8%,85,65.0%,1,2.7%,0,0.13,57,13.5%
179,刘毅,山东高速,小前锋,26,32,469,15,12.5%,83,61.3%,15,6.0%,28,0.48,4,19.2%
180,赵嘉义,浙江广厦控股,大前锋,23,30,466,37,15.5%,84,62.8%,25,6.2%,28,0.40,12,18.1%
181,许梦君,苏州肯帝亚,小前锋,24,31,466,22,13.5%,37,53.3%,4,4.0%,7,0.30,94,7.6%
182,王睿,南京同曦宙光,大前锋,23,24,465,44,16.6%,19,49.7%,54,9.0%,57,0.54,30,16.4%
183,乔纳森-西蒙斯,山西汾酒股份,小前锋,33,25,465,100,38.8%,74,59.6%,98,39.4%,98,1.01,76,10.6%
184,孙桐林,北京控股,中锋,30,28,462,0,10.0%,52,57.4%,84,16.1%,100,1.60,3,24.4%
185,莫兰德,辽宁本钢,大前锋,31,25,459,54,17.8%,37,53.4%,47,8.3%,40,0.47,40,14.2%
186,曾令旭,新疆伊力王酒,得分后卫,35,28,456,28,15.9%,81,56.9%,87,34.8%,100,2.19,24,18.1%
187,武子涵,深圳马可波罗,大前锋,19,29,454,49,17.2%,74,61.6%,72,10.4%,70,0.61,7,18.9%
188,丁彦雨航,山东高速,小前锋,29,18,448,91,25.9%,56,55.7%,63,11.4%,24,0.44,41,13.4%
189,何思雨,天津先行者,得分后卫,25,21,447,14,14.4%,68,56.0%,24,11.6%,44,0.81,49,15.4%
190,塔瑞克,北京首钢,中锋,24,31,444,48,19.3%,60,59.7%,28,6.4%,22,0.33,21,19.5%
191,潘宁,天津先行者,中锋,27,23,442,15,14.8%,16,52.8%,43,8.3%,60,0.56,16,20.5%
192,王子麒,南京同曦宙光,得分后卫,26,27,442,5,13.6%,44,51.1%,13,9.5%,30,0.69,75,12.6%
193,谷泽浴,天津先行者,控球后卫,25,29,428,57,20.2%,56,52.6%,60,35.0%,69,1.74,64,16.8%
194,孙浩钦,深圳马可波罗,得分后卫,19,26,426,49,18.9%,14,43.7%,37,14.0%,40,0.74,43,15.6%
195,王骁辉,北京首钢,小前锋,32,28,420,4,9.9%,6,43.9%,26,6.7%,61,0.68,93,8.1%
196,齐浩彤,广州龙狮,大前锋,24,29,420,46,17.0%,14,47.7%,68,10.1%,67,0.59,5,19.0%
197,王旭,南京同曦宙光,控球后卫,27,15,417,78,24.0%,67,55.6%,84,39.7%,62,1.66,31,23.2%
198,王薪凯,广东东莞大益,小前锋,27,26,412,20,13.4%,44,54.3%,2,2.5%,2,0.19,6,18.1%
199,赖俊豪,浙江稠州金租,大前锋,27,32,408,4,11.6%,67,59.1%,16,5.7%,49,0.49,14,17.9%
200,张稀然,苏州肯帝亚,控球后卫,25,25,403,67,21.9%,24,43.6%,44,27.2%,31,1.25,9,28.5%
201,马泽来,宁波甬兴证券,得分后卫,22,26,400,13,14.3%,3,38.3%,56,19.5%,81,1.36,2,37.5%
202,可兰白克,上海久事,小前锋,30,25,399,37,15.2%,100,69.8%,43,8.7%,43,0.58,100,6.3%
203,吴昌泽,辽宁本钢,大前锋,22,22,399,2,11.2%,21,49.7%,5,4.5%,25,0.40,47,12.9%
204,张辉,四川金荣实业,控球后卫,26,20,395,45,17.5%,16,40.5%,27,21.1%,24,1.21,56,17.6%
205,曾繁日,广东东莞大益,中锋,26,35,395,9,13.0%,63,60.2%,37,7.6%,69,0.58,12,21.3%
206,苏伟,广东东莞大益,中锋,33,31,394,33,16.7%,69,61.9%,10,4.0%,9,0.24,1,25.5%
207,崔晓龙,苏州肯帝亚,得分后卫,23,17,394,81,25.3%,30,46.6%,76,23.6%,54,0.93,19,21.8%
208,吉布森,北京首钢,控球后卫,35,21,392,98,40.8%,98,65.8%,71,37.6%,7,0.92,89,12.0%
209,吕俊虎,青岛每日优鲜,大前锋,23,23,392,35,15.1%,70,59.6%,35,7.3%,44,0.48,32,16.2%
210,焦海龙,山东高速,大前锋,26,14,387,7,12.0%,26,50.7%,42,8.0%,77,0.66,84,8.8%
211,张皓嘉,广东东莞大益,小前锋,22,14,386,7,11.0%,94,64.1%,59,10.9%,96,0.99,69,11.7%
212,李荣培,天津先行者,得分后卫,27,30,383,32,16.3%,27,45.8%,48,16.9%,62,1.04,38,15.9%
213,林孝天,浙江稠州金租,得分后卫,23,24,383,30,16.3%,56,54.3%,70,22.7%,83,1.39,8,27.8%
214,伊力福拉提,新疆伊力王酒,得分后卫,22,30,383,38,17.2%,67,55.8%,25,12.3%,37,0.72,51,15.3%
215,张大宇,浙江稠州金租,中锋,31,31,379,18,14.9%,22,53.3%,56,10.2%,76,0.68,99,5.6%
216,衡艺丰,南京同曦宙光,小前锋,27,19,379,50,16.4%,22,51.5%,67,12.0%,72,0.73,54,13.0%
217,李京龙,广州龙狮,小前锋,27,29,367,85,21.5%,31,52.9%,13,5.7%,4,0.27,96,7.1%
218,田桂森,福建浔兴股份,小前锋,28,21,354,48,16.1%,13,45.7%,48,9.2%,41,0.57,44,13.3%
219,埃里克-格林,浙江稠州金租,得分后卫,30,14,349,97,32.7%,71,56.2%,84,30.1%,52,0.92,100,7.4%
