排名,球员,效力球队,位置,年龄,场数,时间,回合占有率,回合占有率  %,真实命中率,真实命中率  %,助攻率,助攻率  %,助攻率/回合占有率,助攻率/回合占有率  %,失误率,失误率  %
264,高森堡,天津先行者,小前锋,27,17,193,26,13.8%,4,43.0%,9,5.6%,17,0.41,15,16.7%
265,李金效,浙江广厦控股,大前锋,25,13,188,18,13.0%,12,47.6%,19,6.0%,39,0.46,57,11.7%
266,徐铭智,福建浔兴股份,控球后卫,25,9,183,55,19.6%,84,58.8%,38,26.8%,40,1.37,33,23.0%
267,赵锦洋,广东东莞大益,得分后卫,21,17,180,24,15.4%,98,65.6%,16,9.6%,22,0.62,0,38.6%
268,张昊,广东东莞大益,中锋,20,12,177,34,17.1%,21,53.2%,7,3.7%,7,0.22,60,13.4%
269,侯沛佐,山东高速,小前锋,23,15,172,24,13.7%,7,44.0%,52,10.1%,74,0.74,9,16.9%
270,贾斯汀-汉密尔顿,北京首钢,中锋,32,8,169,85,26.0%,40,55.5%,75,14.8%,66,0.57,100,5.3%
271,闫实,苏州肯帝亚,得分后卫,21,11,163,67,22.2%,21,44.9%,32,13.6%,21,0.61,5,29.6%
272,孙鑫,苏州肯帝亚,得分后卫,22,11,160,11,14.3%,46,51.5%,3,6.9%,8,0.48,87,10.7%
273,杨皓喆,南京同曦宙光,控球后卫,25,12,159,82,25.6%,25,44.0%,13,17.5%,0,0.68,20,25.2%
274,刘权标,广东东莞大益,得分后卫,23,10,158,22,15.4%,92,62.0%,2,4.9%,2,0.32,6,29.3%
275,耿铭旸,九台农商银行,大前锋,25,21,153,25,13.9%,7,44.8%,86,12.9%,95,0.93,98,6.6%
276,杨金蒙,青岛每日优鲜,得分后卫,27,15,150,59,20.3%,22,45.4%,43,14.4%,35,0.71,67,13.6%
277,付博文,九台农商银行,得分后卫,23,18,150,19,15.0%,24,45.5%,73,22.9%,87,1.53,21,21.1%
278,佟佳俊,广州龙狮,得分后卫,19,20,150,10,14.2%,2,37.1%,81,28.0%,97,1.97,3,35.1%
279,赵戌宏,四川金荣实业,中锋,26,10,149,49,19.7%,4,48.9%,6,3.5%,3,0.18,10,21.5%
280,曼利,四川金荣实业,中锋,24,10,149,96,29.2%,1,46.5%,46,8.5%,16,0.29,73,11.7%
281,刘天意,九台农商银行,得分后卫,28,12,147,62,20.5%,54,53.6%,5,7.0%,3,0.34,28,17.4%
282,刘家昕,青岛每日优鲜,得分后卫,21,13,146,16,14.5%,16,43.7%,59,20.4%,84,1.40,68,13.4%
283,张明池,广东东莞大益,中锋,20,13,142,75,23.1%,90,65.6%,52,9.6%,40,0.41,9,21.7%
284,胡林森,四川金荣实业,得分后卫,23,12,139,83,25.8%,5,39.0%,11,9.5%,5,0.37,22,20.6%
285,胡钧淋,四川金荣实业,控球后卫,23,6,135,2,10.7%,47,50.2%,62,35.3%,100,3.30,85,13.0%
286,罗凯文,北京控股,小前锋,27,13,130,43,15.6%,0,41.8%,56,10.6%,63,0.68,39,13.5%
287,纪卓,浙江广厦控股,大前锋,22,12,127,56,17.9%,11,46.8%,9,4.6%,5,0.26,2,21.1%
288,张正昕,九台农商银行,中锋,27,15,121,63,21.2%,9,49.5%,39,7.8%,30,0.37,30,16.9%
289,王炫,宁波甬兴证券,控球后卫,25,8,121,20,14.3%,7,35.1%,22,19.9%,44,1.40,0,39.7%
290,刘丰搏,福建浔兴股份,大前锋,29,9,114,47,17.2%,2,33.0%,21,6.1%,16,0.35,60,11.7%
291,左朕年,四川金荣实业,小前锋,26,7,114,44,16.1%,9,44.3%,0,1.6%,0,0.10,56,12.9%
292,杜金伦,浙江广厦控股,得分后卫,23,12,114,33,16.8%,0,33.6%,28,13.2%,41,0.78,63,14.4%
293,朱瀛,上海久事,大前锋,27,11,113,33,15.1%,0,30.8%,11,4.7%,11,0.31,77,10.1%
294,孟天艺,四川金荣实业,中锋,23,9,112,70,22.3%,13,51.8%,93,22.3%,93,1.00,42,15.6%
295,王政博,广州龙狮,得分后卫,26,12,110,8,13.9%,94,62.4%,6,7.2%,11,0.52,95,9.2%
296,汤杰,广东东莞大益,控球后卫,23,9,107,22,14.6%,5,34.3%,2,12.5%,4,0.85,82,14.0%
297,孙思尧,北京控股,大前锋,26,9,107,77,19.4%,91,65.5%,2,2.9%,2,0.15,19,17.6%
298,张洪硕,浙江稠州金租,大前锋,20,11,102,61,18.1%,35,53.3%,0,0.0%,0,0.00,93,7.4%
299,孙椿棚,浙江广厦控股,中锋,27,11,101,37,17.6%,0,38.7%,42,8.1%,49,0.46,4,23.2%
300,缪光旸,广州龙狮,中锋,25,11,92, ,21.9%, ,39.2%, ,5.4%, ,0.25, ,18.9%
301,巴里-布朗,北京首钢,得分后卫,26,5,92, ,47.6%, ,53.4%, ,24.1%, ,0.51, ,10.9%
302,李盛东,九台农商银行,小前锋,26,11,91, ,24.9%, ,41.2%, ,9.0%, ,0.36, ,18.8%
303,韩博林,天津先行者,小前锋,27,8,90, ,21.0%, ,23.0%, ,10.6%, ,0.50, ,21.6%
304,孙岩松,福建浔兴股份,大前锋,22,7,90, ,14.4%, ,45.2%, ,5.4%, ,0.38, ,17.1%
305,吴轲,山西汾酒股份,中锋,32,11,87, ,16.1%, ,32.1%, ,9.9%, ,0.62, ,9.7%
306,戴昊,上海久事,控球后卫,20,6,85, ,20.6%, ,52.7%, ,37.2%, ,1.81, ,25.4%
307,马鑫鑫,山东高速,中锋,19,13,84, ,12.5%, ,70.4%, ,3.6%, ,0.29, ,47.7%
308,刘宇轩,苏州肯帝亚,大前锋,23,8,82, ,21.8%, ,42.3%, ,9.6%, ,0.44, ,18.5%
309,马力克,广东东莞大益,得分后卫,20,7,82, ,8.4%, ,25.1%, ,3.2%, ,0.38, ,20.1%
310,焦恩格尔,南京同曦宙光,中锋,27,7,82, ,18.8%, ,35.3%, ,12.7%, ,0.67, ,16.8%
311,于晓辉,新疆伊力王酒,中锋,24,10,81, ,16.4%, ,49.0%, ,7.7%, ,0.47, ,7.0%
312,西尔扎提,新疆伊力王酒,控球后卫,21,15,80, ,16.8%, ,33.8%, ,22.3%, ,1.32, ,26.5%
313,文雁行,山东高速,控球后卫,27,9,79, ,18.3%, ,61.7%, ,22.0%, ,1.20, ,9.3%
314,于长春,深圳马可波罗,大前锋,31,9,75, ,12.8%, ,43.0%, ,1.9%, ,0.15, ,9.2%
315,王昊宇,南京同曦宙光,控球后卫,22,9,75, ,12.6%, ,16.7%, ,23.1%, ,1.83, ,14.3%
316,关宁,南京同曦宙光,控球后卫,23,8,68, ,20.8%, ,40.2%, ,24.1%, ,1.16, ,44.6%
317,曹飞,山西汾酒股份,控球后卫,31,7,66, ,12.2%, ,39.3%, ,10.1%, ,0.83, ,22.2%
318,李英博,福建浔兴股份,大前锋,23,10,66, ,12.4%, ,18.2%, ,2.2%, ,0.18, ,38.9%
319,刘禹涛,九台农商银行,中锋,25,7,65, ,20.3%, ,60.6%, ,0.0%, ,0.00, ,10.8%
320,李青翔,北京控股,控球后卫,30,8,64, ,13.3%, ,25.9%, ,20.8%, ,1.56, ,27.0%
321,张卓,北京首钢,大前锋,26,5,62, ,19.4%, ,58.6%, ,11.7%, ,0.60, ,15.8%
322,万圣伟,南京同曦宙光,中锋,28,3,62, ,22.3%, ,41.2%, ,8.6%, ,0.38, ,23.3%
323,李龙元,北京控股,得分后卫,21,5,61, ,16.0%, ,43.1%, ,11.8%, ,0.74, ,4.6%
324,韩霈瑜,山西汾酒股份,大前锋,21,4,53, ,18.8%, ,40.0%, ,10.5%, ,0.56, ,22.2%
325,杨阿力,北京首钢,控球后卫,21,9,50, ,21.1%, ,62.3%, ,23.4%, ,1.11, ,37.0%
326,孟翔,深圳马可波罗,小前锋,25,3,49, ,19.1%, ,32.5%, ,8.8%, ,0.46, ,4.8%
327,徐昕,广东东莞大益,中锋,19,6,49, ,23.0%, ,61.1%, ,0.0%, ,0.00, ,12.0%
328,买尔丹,深圳马可波罗,中锋,34,6,46, ,5.7%, ,56.8%, ,9.1%, ,1.59, ,85.0%
329,颜鹏,上海久事,小前锋,26,3,44, ,17.3%, ,34.6%, ,14.7%, ,0.85, ,17.2%
330,周仪翔,北京首钢,得分后卫,31,7,44, ,15.5%, ,0.0%, ,18.1%, ,1.16, ,28.6%
331,王文宇,山东高速,控球后卫,25,8,44, ,14.7%, ,46.1%, ,30.6%, ,2.08, ,29.1%
332,付磊,广州龙狮,得分后卫,26,5,43, ,15.7%, ,50.0%, ,12.6%, ,0.80, ,6.7%
333,白杰,南京同曦宙光,小前锋,24,3,43, ,19.5%, ,40.0%, ,13.7%, ,0.70, ,16.7%
334,刘雁宇,辽宁本钢,中锋,23,7,43, ,12.7%, ,33.3%, ,0.0%, ,0.00, ,25.0%
335,田野,天津先行者,控球后卫,32,6,39, ,13.8%, ,51.5%, ,39.7%, ,2.87, ,34.0%
336,马壮,辽宁本钢,得分后卫,23,6,34, ,13.5%, ,47.7%, ,14.8%, ,1.10, ,9.6%
337,郑昊燃,天津先行者,小前锋,23,3,33, ,6.8%, ,90.0%, ,0.0%, ,0.00, ,0.0%
338,卢艺文,深圳马可波罗,大前锋,27,3,32, ,17.8%, ,53.8%, ,4.3%, ,0.24, ,0.0%
339,姚天一,广州龙狮,控球后卫,28,5,32, ,18.1%, ,27.3%, ,18.8%, ,1.04, ,8.3%
340,赵晏满,广州龙狮,中锋,23,7,30, ,21.9%, ,45.0%, ,10.5%, ,0.48, ,36.0%
341,李佳恒,北京控股,控球后卫,21,5,29, ,20.0%, ,62.5%, ,23.6%, ,1.18, ,33.3%
342,彭森傲,深圳马可波罗,中锋,19,5,29, ,18.1%, ,39.9%, ,0.0%, ,0.00, ,34.7%
343,孔德高,九台农商银行,得分后卫,21,10,25, ,18.8%, ,17.1%, ,5.2%, ,0.27, ,10.2%
344,刘颜诚,广州龙狮,小前锋,20,3,24, ,13.5%, ,115.4%, ,0.0%, ,0.00, ,27.8%
345,张泽龙,山西汾酒股份,小前锋,27,2,20, ,27.6%, ,55.7%, ,8.1%, ,0.29, ,16.8%
346,李想,深圳马可波罗,大前锋,24,3,20, ,10.7%, ,25.0%, ,13.9%, ,1.29, ,20.0%
347,何重达,上海久事,大前锋,28,2,19, ,16.3%, ,25.0%, ,0.0%, ,0.00, ,0.0%
348,薛驰,宁波甬兴证券,大前锋,22,4,17, ,18.8%, ,80.0%, ,0.0%, ,0.00, ,28.6%
349,杨凯,山西汾酒股份,小前锋,26,2,12, ,11.0%, ,17.4%, ,0.0%, ,0.00, ,0.0%
350,谢立石,天津先行者,得分后卫,25,1,12, ,20.5%, ,46.0%, ,74.9%, ,3.65, ,15.5%
351,时振恺,浙江稠州金租,小前锋,20,2,11, ,19.6%, ,20.0%, ,0.0%, ,0.00, ,0.0%
352,常林,北京首钢,大前锋,34,2,9, ,15.5%, ,50.0%, ,0.0%, ,0.00, ,33.3%
353,满奕呈,北京控股,小前锋,23,1,9, ,28.9%, ,33.3%, ,0.0%, ,0.00, ,40.0%
354,刘晋廷,苏州肯帝亚,大前锋,22,1,9, ,5.8%, ,0.0%, ,0.0%, ,0.00, ,0.0%
355,范依铭,北京首钢,大前锋,21,2,9, ,16.1%, ,0.0%, ,0.0%, ,0.00, ,66.7%
356,任骏哲,浙江稠州金租,控球后卫,19,3,9, ,45.3%, ,0.0%, ,43.1%, ,0.95, ,33.3%
357,王化东,辽宁本钢,大前锋,23,2,8, ,14.3%, ,69.4%, ,0.0%, ,0.00, ,41.0%
358,孙昊淼,新疆伊力王酒,大前锋,19,3,7, ,42.0%, ,17.4%, ,0.0%, ,0.00, ,14.8%
359,石颜博,北京控股,大前锋,22,1,6, ,15.0%, ,0.0%, ,19.4%, ,1.29, ,50.0%
360,潘威,福建浔兴股份,控球后卫,22,1,6, ,30.9%, ,0.0%, ,0.0%, ,0.00, ,50.0%
361,陆翊铭,浙江稠州金租,得分后卫,20,1,6, ,6.8%, ,100.0%, ,0.0%, ,0.00, ,0.0%
362,皇甫承轩,南京同曦宙光,控球后卫,21,1,5, ,38.3%, ,0.0%, ,0.0%, ,0.00, ,0.0%
363,栾利程,北京首钢,小前锋,24,1,4, ,11.6%, ,56.8%, ,0.0%, ,0.00, ,0.0%
364,郭昱彰,新疆伊力王酒,小前锋,19,1,2, ,20.0%, ,0.0%, ,0.0%, ,0.00, ,100.0%
365,司坤,山东高速,得分后卫,27,1,1, ,74.7%, ,0.0%, ,0.0%, ,0.00, ,100.0%
366,刘炜,天津先行者,控球后卫,22,2,1, ,33.9%, ,0.0%, ,0.0%, ,0.00, ,100.0%
367,张扬,青岛每日优鲜,小前锋,22,1,0, ,0.0%, ,0.0%, ,0.0%, ,0.00, ,0.0%
